nome,imagem,imagem2,codigo,medidas,categoria
Conector/União 180º V/V | Branco,assets/produtos/conector-180-VV/conector-180-VV-branco.jpg,assets/produtos/conector-180-VV/conector-180-VV-branco-segunda.jpg,CN180BR,80mm. 66mm (entre furos),Conectores
Conector/União 90º V/V | Polido,assets/produtos/conector-90-vv/polido.jpg,assets/produtos/conector-90-vv/polido-segunda.jpg,CN90P,42mm x 28mm,Conectores
Conector/União 90º V/V | Preto,assets/produtos/conector-90-vv/preto.jpg,assets/produtos/conector-90-vv/preto-segunda.jpg,CN90PR,42mm x 28mm,Conectores
Conector/União 90º V/V | Branco,assets/produtos/conector-90-vv/branco.jpg,assets/produtos/conector-90-vv/branco-segunda.jpg,CN90BR,42mm x 28mm,Conectores
Conector/União 90º Alvenaria | Polido,assets/produtos/conector-90/conector-90-natural.jpg,assets/produtos/conector-90/conector-90-natural-segunda.jpg,CN90VAP,(40mm Alvenaria) 54mm x 46mm,Conectores
Conector/União 90º Alvenaria | Preto,assets/produtos/conector-90/conector-90-preto.jpg,assets/produtos/conector-90/conector-90-preto-segunda.jpg,CN90VAPR,(40mm Alvenaria) 54mm x 46mm,Conectores
Conector/União 90º Alvenaria | Branco,assets/produtos/conector-90/conector-90-branco.jpg,assets/produtos/conector-90/conector-90-branco-segunda.jpg,CN90VABR,(40mm Alvenaria) 54mm x 46mm,Conectores
Conector/União de Canto 90º | Polido,assets/produtos/conector-canto-90/conector-canto-90-polido.jpg,assets/produtos/conector-canto-90/conector-canto-90-polido-segunda.jpg,CN90AP,51mm x 51mm x 46mm,Conectores
Conector/União de Canto 90º | Preto,assets/produtos/conector-canto-90/conector-canto-90-preto.jpg,assets/produtos/conector-canto-90/conector-canto-90-preto-segunda.jpg,CN90APR,51mm x 51mm x 46mm,Conectores
Conector/União de Canto 90º | Branco,assets/produtos/conector-canto-90/conector-canto-90-branco.jpg,assets/produtos/conector-canto-90/conector-canto-90-branco-segunda.jpg,CN90ABR,51mm x 51mm x 46mm,Conectores
União 180º | Polido,assets/produtos/uniao-180/uniao-180-polido.jpg,assets/produtos/uniao-180/uniao-180-polido-segunda.jpg,CN180AP,76xmm x 10mm x 7mm,Conectores
União 180º | Preto,assets/produtos/uniao-180/uniao-180-preto.jpg,assets/produtos/uniao-180/uniao-180-preto-segunda.jpg,CN180APR,76xmm x 10mm x 7mm,Conectores
União 180º | Branco,assets/produtos/uniao-180/uniao-180-branco.jpg,assets/produtos/uniao-180/uniao-180-branco-segunda.jpg,CN180ABR,76xmm x 10mm x 7mm,Conectores
Suporte Papel Higiênico | Polido,assets/produtos/suporte-papel-higienico/suporte-papel-higienico-polido.jpg,assets/produtos/suporte-papel-higienico/suporte-papel-higienico-polido.jpg,PAP,,Kit Banheiro
Suporte Papel Higiênico | Preto,assets/produtos/suporte-papel-higienico/suporte-papel-higienico-preto.jpg,assets/produtos/suporte-papel-higienico/suporte-papel-higienico-preto.jpg,PAPR,,Kit Banheiro
Cabide Simples Banheiro | Polido,assets/produtos/porta-toalha-de-rosto/porta-toalha-de-rosto-polido.jpg,assets/produtos/porta-toalha-de-rosto/porta-toalha-de-rosto-polido.jpg,POP,,Kit Banheiro
Cabide Simples Banheiro | Preto,assets/produtos/porta-toalha-de-rosto/porta-toalha-de-rosto-preto.jpg,assets/produtos/porta-toalha-de-rosto/porta-toalha-de-rosto-preto.jpg,POPR,,Kit Banheiro
Porta Toalha de Rosto | Polido,assets/produtos/porta-toalha-de-rosto-reto/porta-toalha-de-rosto-reto-polido.jpg,assets/produtos/porta-toalha-de-rosto-reto/porta-toalha-de-rosto-reto-polido.jpg,POTP,,Kit Banheiro
Porta Toalha de Rosto | Preto,assets/produtos/porta-toalha-de-rosto-reto/porta-toalha-de-rosto-reto-preto.jpg,assets/produtos/porta-toalha-de-rosto-reto/porta-toalha-de-rosto-reto-preto.jpg,POTPR,,Kit Banheiro
Emenda U | Polida,assets/produtos/emenda-u/emenda-u-polida.jpg,assets/produtos/emenda-u/emenda-u-polida.jpg,PUP8,Espessura do Vidro: 8mm,Emendas U
Emenda U | Polida,,,PUP10,Espessura do Vidro: 10mm,Emendas U
Emenda U | Polida,,,PUP12,Espessura do Vidro: 12mm,Emendas U
Emenda U | Polida,,,PUP16,Espessura do Vidro: 16mm,Emendas U
Emenda U | Preta,assets/produtos/emenda-u/emenda-u-preta.jpg,assets/produtos/emenda-u/emenda-u-preta.jpg,PUPR8,Espessura do Vidro: 8mm,Emendas U
Emenda U | Preta,,,PUPR10,Espessura do Vidro: 10mm,Emendas U
Emenda U | Preta,,,PUPR12,Espessura do Vidro: 12mm,Emendas U
Emenda U | Preta,,,PUPR16,Espessura do Vidro: 16mm,Emendas U
Emenda U | Branca,assets/produtos/emenda-u/emenda-u-branca.jpg,assets/produtos/emenda-u/emenda-u-branca.jpg,PUBR8,Espessura do Vidro: 8mm,Emendas U
Emenda U | Branca,,,PUBR10,Espessura do Vidro: 10mm,Emendas U
Emenda U | Branca,,,PUBR12,Espessura do Vidro: 12mm,Emendas U
Emenda U | Branca,,,PUBR16,Espessura do Vidro: 16mm,Emendas U
Canopla Polida,assets/produtos/canoplas/canopla-polida.jpg,assets/produtos/canoplas/canopla-polida.jpg,C10P,10mm,Acessorios
Canopla Escovada,assets/produtos/canoplas/canopla-escovada.jpg,assets/produtos/canoplas/canopla-escovada.jpg,C10E,10mm,Acessorios
Canopla Preta,assets/produtos/canoplas/canopla-preta.jpg,assets/produtos/canoplas/canopla-preta.jpg,C10PR,10mm,Acessorios
Canopla Branca,assets/produtos/canoplas/canopla-branca.jpg,assets/produtos/canoplas/canopla-branca.jpg,C10BR,10mm,Acessorios
Guia U Externo | Polido,assets/produtos/guia-u/guia-u-polido.jpg,assets/produtos/guia-u/guia-u-polido-segunda.jpg,G-AP,70mm x 47mm,Acessorios
Guia U Externo | Preto,assets/produtos/guia-u/guia-u-preto.jpg,assets/produtos/guia-u/guia-u-preto-segunda.jpg,G-APR,70mm x 47mm,Acessorios
Guia U Externo | Branco,assets/produtos/guia-u/guia-u-branco.jpg,assets/produtos/guia-u/guia-u-branco-segunda.jpg,G-ABR,70mm x 47mm,Acessorios
Batedor Limitador | Polido,assets/produtos/batedor-limitador/batedor-polido.jpg,assets/produtos/batedor-limitador/batedor-segunda.jpg,BTR,"21,8mm x 24,2mm",Acessorios
Batedor Limitador | Preto,assets/produtos/batedor-limitador/batedor-preto.jpg,assets/produtos/batedor-limitador/batedor-segunda.jpg,BTRPR,"21,8mm x 24,2mm",Acessorios
Batedor Limitador | Branco,assets/produtos/batedor-limitador/batedor-branco.jpg,assets/produtos/batedor-limitador/batedor-segunda.jpg,BTRBR,"21,8mm x 24,2mm",Acessorios
